NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,1,14.41,0.24,0.03,NaN,2,-0.42,1.6,0.07,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,1,1.62,0.69,0.37,NaN,2,2.13,2.92,0.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83300000,NaN,0,NaN,0
NaN,NaN,NaN,2,-3.54,0.78,0.06,NaN,4,1.41,3.1,0.19,0.03,10,0.03,4.88,0.16,NaN,NaN,1,2.03,0.8,0.4,NaN,NaN,5,0.98,1.19,0.53,NaN,2,1.06,2.87,0.46,NaN,NaN,NaN,NaN,-0.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11900,4440000,0,NaN,0
NaN,NaN,NaN,2,-3.91,1.27,0.07,NaN,4,1.28,5.83,0.34,-0.05,10,-0.05,7.54,0.29,NaN,NaN,1,1.33,0.9,0.43,NaN,NaN,5,1.13,1.72,0.68,NaN,2,1.05,2.63,0.46,NaN,NaN,NaN,NaN,-0.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1680,1310000,0,NaN,0
3.43,66.3,-3.02,10,-3.02,1.25,0.12,1.62,10,1.62,3.97,0.44,-0.12,10,-0.12,7.88,0.29,NaN,NaN,1,1.57,0.81,0.4,NaN,0.47,10,0.47,1.14,0.51,NaN,2,1.07,2.79,0.49,NaN,NaN,NaN,NaN,-0.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2800,4030000,0,NaN,0
3.12,70.9,-2.62,10,-2.62,2.13,0.11,1.69,10,1.69,7.42,0.46,-0.15,10,-0.15,13.15,0.26,NaN,NaN,5,2.56,1.48,0.6,NaN,0.64,10,0.64,1.73,0.68,1.34,10,1.34,3.07,0.52,NaN,NaN,NaN,NaN,-0.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,778,1740000,0,NaN,0
2.82,73.6,-2.29,10,-2.29,2.61,0.14,1.64,10,1.64,7.41,0.53,-0.21,10,-0.21,13.38,0.26,NaN,NaN,1,0.65,0.95,0.45,NaN,0.59,10,0.59,1.74,0.68,NaN,2,1.49,2.58,0.47,NaN,NaN,NaN,NaN,-0.22,NaN,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,504,NaN,0,NaN,0
2.96,70.8,-2.49,10,-2.49,3.59,0.19,1.6,10,1.6,7.44,0.61,-0.37,10,-0.37,12.8,0.23,NaN,NaN,5,0.51,1.12,0.5,NaN,0.56,10,0.56,2.19,0.8,1.12,10,1.12,2.99,0.52,3.21,69.5,-2.74,1.68,-0.22,NaN,NaN,NaN,0.48,NaN,0.024,201.4,NaN,NaN,NaN,NaN,NaN,355,NaN,0,NaN,0
3.18,68.1,-2.75,10,-2.75,3.27,0.18,1.59,10,1.59,6.77,0.6,-0.32,10,-0.32,13.33,0.24,NaN,NaN,5,0.73,1.14,0.51,NaN,0.41,10,0.41,2.26,0.81,NaN,2,0.94,2.35,0.42,3.13,71.2,-2.62,1.71,-0.22,NaN,NaN,NaN,0.49,NaN,0.022,200.8,NaN,NaN,NaN,NaN,NaN,287,1950000,0,NaN,0
4.02,63.4,-3.63,10,-3.63,2.92,0.18,1.72,10,1.72,6.53,0.6,-0.28,10,-0.28,12.69,0.23,NaN,NaN,5,2.33,1.15,0.51,NaN,0.52,10,0.52,2.01,0.75,NaN,2,1.08,2.69,0.48,3.08,72.5,-2.53,1.74,-0.22,NaN,NaN,NaN,0.51,NaN,0.017,198.5,NaN,NaN,NaN,NaN,NaN,159,NaN,0,NaN,0
2.97,73.6,-2.42,10,-2.42,1.9,0.15,1.73,10,1.73,8.38,0.57,-0.13,10,-0.13,13.22,0.24,NaN,NaN,1,0.92,0.74,0.38,NaN,0.37,10,0.37,1.93,0.73,NaN,2,1.07,2.66,0.48,3.04,73.7,-2.47,1.77,-0.22,NaN,NaN,NaN,0.54,NaN,0.013,193.2,NaN,NaN,NaN,NaN,NaN,148,1930000,0,NaN,256
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,4,1.76,8.37,0.54,-0.14,10,-0.14,13.37,0.23,NaN,NaN,0,NaN,NaN,NaN,NaN,0.46,10,0.46,2.19,0.8,NaN,2,1.13,2.49,0.46,3.01,74.6,-2.42,1.8,-0.22,NaN,NaN,NaN,0.57,NaN,0.009,183,NaN,NaN,NaN,NaN,NaN,142,2440000,0,NaN,0
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,4,1.82,8.27,0.52,-0.18,10,-0.18,18.29,0.24,NaN,NaN,0,NaN,NaN,NaN,NaN,0.7,10,0.7,2.16,0.79,NaN,2,1.06,2.79,0.48,3.01,75.4,-2.39,1.82,-0.22,NaN,NaN,NaN,0.61,NaN,0.008,165.4,NaN,NaN,NaN,NaN,NaN,133,3060000,0,NaN,0
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,4,1.83,8.26,0.5,-0.2,10,-0.2,18.47,0.23,NaN,NaN,0,NaN,NaN,NaN,NaN,0.67,10,0.67,2.11,0.78,NaN,2,0.89,2.48,0.45,3.01,76,-2.37,1.86,-0.23,NaN,NaN,NaN,0.64,NaN,0.007,143.2,NaN,NaN,NaN,NaN,NaN,98.5,2930000,2,NaN,0
2.2,92.2,-1.29,10,-1.29,2.99,0.26,1.78,10,1.78,8.4,0.49,-0.23,10,-0.23,18.78,0.23,NaN,NaN,5,0.3,1.86,0.7,NaN,0.54,10,0.54,1.49,0.62,NaN,2,0.82,2.39,0.43,3.03,76.6,-2.37,1.89,-0.23,NaN,NaN,NaN,0.67,NaN,0.008,125.4,NaN,NaN,NaN,NaN,NaN,63.6,NaN,0,NaN,256
