NaN,NaN,NaN,2,2.81,0.76,0.1,NaN,4,-12.34,0.94,0.12,-2.73,10,-2.73,9.92,0.58,NaN,NaN,2,1.98,1.01,0.47,NaN,NaN,1,1.06,0.89,0.44,NaN,5,0.71,8.4,0.89,NaN,NaN,NaN,NaN,-1.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,348000000,4.87e+10,2,NaN,0
NaN,NaN,NaN,2,-4.42,0.64,0.04,NaN,2,-7.58,0.86,0.05,-1.33,10,-1.33,2.31,0.11,NaN,NaN,1,2.79,0.83,0.41,NaN,NaN,1,1.39,0.69,0.37,NaN,2,1.61,2.69,0.43,NaN,NaN,NaN,NaN,-1.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47800,NaN,0,NaN,0
NaN,NaN,NaN,2,-0.11,1.39,0.06,NaN,2,-0.17,2,0.1,-0.36,10,-0.36,3.61,0.13,NaN,NaN,1,2.38,0.82,0.41,NaN,NaN,1,1.51,0.74,0.39,NaN,2,0.98,1.98,0.37,NaN,NaN,NaN,NaN,-1.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6040,NaN,0,NaN,0
NaN,NaN,NaN,2,0.47,1.52,0.08,NaN,4,0.79,2.57,0.16,-0.37,10,-0.37,4.13,0.19,NaN,NaN,1,2.33,0.79,0.4,NaN,NaN,1,0.7,0.63,0.35,NaN,2,1.37,2.2,0.39,NaN,NaN,NaN,NaN,-0.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4080,NaN,0,NaN,0
1.97,173,1.39,10,1.39,2.27,0.13,1.4,10,1.4,4.03,0.29,-0.2,10,-0.2,10.53,0.31,NaN,NaN,1,0.89,0.64,0.34,NaN,NaN,5,1.41,1.66,0.66,0.6,10,0.6,3.25,0.52,2.04,169.8,1.36,1.52,-0.58,NaN,NaN,NaN,NaN,NaN,0.017,24.6,NaN,NaN,NaN,NaN,NaN,1250,NaN,0,NaN,0
2.19,179,1.71,10,1.71,3.03,0.19,1.38,10,1.38,5.5,0.42,-0.14,10,-0.14,12.61,0.41,NaN,NaN,1,2.28,0.59,0.33,NaN,NaN,5,0.85,1.72,0.68,0.59,10,0.59,3.27,0.53,1.97,168.5,1.28,1.5,-0.42,NaN,NaN,NaN,NaN,0.61,0.013,7.5,17.1,NaN,1,0.552,0.0016,1010,NaN,0,NaN,0
2.21,178.7,1.71,10,1.71,3.94,0.26,1.4,10,1.4,6.52,0.52,-0.11,10,-0.11,14.05,0.46,NaN,0.39,10,0.39,1.32,0.56,NaN,0.45,10,0.45,1.66,0.66,0.64,10,0.64,3.19,0.56,1.92,168.7,1.25,1.46,-0.3,NaN,0.54,NaN,0.44,0.6,0.012,316.1,17.4,NaN,1,0.54,0.00142,609,NaN,0,NaN,0
1.94,180.9,1.55,10,1.55,4.26,0.29,1.17,10,1.17,7.41,0.58,-0.07,10,-0.07,15.79,0.5,NaN,NaN,1,1.76,0.78,0.39,NaN,0.51,10,0.51,2.11,0.78,0.64,10,0.64,3.61,0.59,1.88,170.4,1.27,1.39,-0.2,NaN,NaN,NaN,0.43,0.6,0.017,286.7,17.7,NaN,1,0.536,0.00208,458,NaN,0,NaN,0
1.31,176.6,0.99,10,0.99,4.45,0.3,0.87,10,0.87,7.74,0.61,-0.07,10,-0.07,17.08,0.51,NaN,NaN,1,1.71,0.96,0.45,NaN,0.28,10,0.28,1.45,0.61,0.55,10,0.55,4.01,0.67,1.85,173.4,1.31,1.3,-0.13,NaN,NaN,NaN,0.42,0.6,0.024,275.7,18,NaN,1,0.538,0.00288,256,NaN,0,NaN,0
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,4,0.61,7.88,0.62,-0.09,10,-0.09,17.65,0.5,NaN,NaN,1,2.51,0.52,0.3,NaN,0.38,10,0.38,1.93,0.74,0.56,10,0.56,3.71,0.62,1.83,177.5,1.39,1.19,-0.07,NaN,NaN,NaN,0.41,0.6,0.029,271,18.2,NaN,1,0.543,0.00361,223,NaN,0,NaN,0
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,4,0.53,8.15,0.63,-0.1,10,-0.1,18.49,0.49,NaN,NaN,0,NaN,NaN,NaN,0.69,0.54,10,0.54,1.82,0.7,0.51,10,0.51,3.39,0.56,1.83,182.5,1.49,1.06,-0.04,NaN,NaN,NaN,0.41,0.61,0.034,268.9,18.3,NaN,1,0.551,0.00426,198,NaN,0,NaN,0
