                Date         T        RH         v         u    Height         P        TD        MR        DD        FF        AZ        El     Range               Lon               Lat        VV
2011-07-05T12:59:33Z    298.96     33.72     -0.54      0.85    656.20    941.24    281.85      7.45    302.54      1.01     55.02     28.17      9.72      0.3503977656     43.0839500400      0.00
2011-07-05T12:59:35Z    298.17     37.28     -0.62      0.90    673.92    939.34    282.64      7.88    304.62      1.09     73.51     61.36     12.51      0.3504473567     43.0839309700      8.86
2011-07-05T12:59:37Z    297.59     36.07     -0.70      0.91    687.88    937.85    281.63      7.37    307.26      1.15    116.95     58.96     22.19      0.3505429626     43.0838089000      6.98
2011-07-05T12:59:39Z    296.91     36.94     -0.78      0.90    702.28    936.30    281.38      7.26    310.95      1.19    103.78     67.23     21.53      0.3505567610     43.0838546800      7.20
2011-07-05T12:59:41Z    296.89     39.28     -0.86      0.85    717.08    934.72    282.27      7.73    315.31      1.21    112.42     65.91     29.55      0.3506354392     43.0837974500      7.40
2011-07-05T12:59:43Z    296.81     39.50     -0.94      0.78    734.98    932.80    282.28      7.75    320.31      1.22    109.49     68.46     33.15      0.3506837487     43.0838012700      8.95
2011-07-05T12:59:45Z    296.69     40.71     -1.02      0.68    749.90    931.21    282.62      7.95    326.15      1.22    104.29     69.96     36.07      0.3507292867     43.0838203400      7.46
2011-07-05T12:59:47Z    296.38     40.32     -1.09      0.56    763.45    929.76    282.20      7.74    332.56      1.22    109.40     70.68     39.43      0.3507567644     43.0837822000      6.78
2011-07-05T12:59:49Z    296.13     41.01     -1.15      0.44    777.58    928.26    282.22      7.77    339.15      1.23    107.38     72.78     39.23      0.3507598341     43.0837936400      7.06
2011-07-05T12:59:51Z    296.03     42.06     -1.21      0.31    791.70    926.75    282.51      7.93    345.67      1.25    107.40     74.83     38.16      0.3507471383     43.0837974500      7.06
2011-07-05T12:59:53Z    296.01     42.34     -1.26      0.19    806.07    925.23    282.60      7.99    351.63      1.27    141.74     68.54     60.97      0.3507636786     43.0834693900      7.19
2011-07-05T12:59:55Z    295.93     43.08     -1.31      0.07    818.04    923.96    282.77      8.10    356.73      1.31    130.45     75.65     42.73      0.3506993055     43.0836486800      5.98
2011-07-05T12:59:57Z    295.64     42.83     -1.34     -0.02    833.76    922.29    282.43      7.93      0.67      1.34    138.43     73.62     53.72      0.3507377207     43.0835380600      7.86
2011-07-05T12:59:59Z    295.42     43.01     -1.38     -0.08    845.73    921.02    282.29      7.87      3.53      1.38    142.19     73.16     58.93      0.3507436812     43.0834808300      5.99
2011-07-05T13:00:01Z    295.29     43.68     -1.41     -0.13    859.16    919.60    282.40      7.95      5.11      1.42    141.44     74.53     57.61      0.3507409990     43.0834960900      6.72
2011-07-05T13:00:03Z    295.19     43.98     -1.44     -0.15    873.69    918.06    282.42      7.97      5.77      1.45    143.66     73.62     65.46      0.3507763445     43.0834236100      7.26
2011-07-05T13:00:05Z    295.11     44.38     -1.47     -0.15    886.75    916.68    282.47      8.01      5.66      1.48    142.28     77.08     54.10      0.3507064879     43.0835151700      6.53
2011-07-05T13:00:07Z    294.91     44.56     -1.50     -0.13    900.34    915.25    282.36      7.96      4.91      1.51    140.89     76.77     58.62      0.3507540822     43.0834922800      6.80
2011-07-05T13:00:09Z    294.85     45.04     -1.53     -0.11    914.69    913.73    282.46      8.03      4.00      1.53    140.10     79.83     47.29      0.3506725132     43.0835723900      7.18
2011-07-05T13:00:11Z    294.64     45.61     -1.55     -0.08    926.50    912.49    282.45      8.04      3.08      1.55    146.00     79.35     51.79      0.3506556749     43.0835151700      5.91
2011-07-05T13:00:13Z    294.59     45.48     -1.57     -0.06    938.98    911.17    282.37      8.01      2.15      1.57    151.50     80.12     50.18      0.3505940437     43.0835037200      6.24
2011-07-05T13:00:15Z    294.43     46.14     -1.57     -0.05    951.64    909.84    282.43      8.06      1.85      1.57    150.36     79.28     56.89      0.3506455123     43.0834541300      6.33
2011-07-05T13:00:17Z    294.28     46.82     -1.57     -0.05    966.93    908.24    282.51      8.12      1.73      1.57    148.47     79.26     59.90      0.3506846130     43.0834388700      7.65
2011-07-05T13:00:19Z    294.20     47.37     -1.55     -0.06    979.00    906.97    282.61      8.19      2.34      1.55    155.30     79.16     62.81      0.3506222963     43.0833854700      6.04
2011-07-05T13:00:21Z    294.13     47.49     -1.54     -0.08    994.34    905.37    282.58      8.19      2.85      1.54    153.07     79.23     65.31      0.3506632745     43.0833740200      7.67
2011-07-05T13:00:23Z    293.83     47.94     -1.49     -0.13   1010.10    903.72    282.45      8.14      4.84      1.49    156.31     77.71     78.24      0.3506860733     43.0832557700      7.88
2011-07-05T13:00:25Z    293.63     48.33     -1.44     -0.16   1022.71    902.40    282.38      8.11      6.53      1.45    157.71     77.19     84.54      0.3506938815     43.0831947300      6.31
2011-07-05T13:00:27Z    293.73     48.61     -1.38     -0.20   1036.18    900.99    282.56      8.23      8.18      1.39    159.21     78.07     81.37      0.3506546915     43.0832138100      6.74
2011-07-05T13:00:29Z    293.40     49.05     -1.32     -0.23   1049.01    899.66    282.40      8.15      9.81      1.34    160.26     78.04     84.31      0.3506497741     43.0831871000      6.41
2011-07-05T13:00:31Z    293.33     49.38     -1.27     -0.24   1063.02    898.20    282.43      8.18     10.78      1.30    163.17     78.89     80.91      0.3505877256     43.0832023600      7.00
2011-07-05T13:00:33Z    293.17     49.83     -1.24     -0.24   1075.83    896.86    282.42      8.19     11.15      1.26    163.02     78.92     83.16      0.3505983055     43.0831832900      6.40
2011-07-05T13:00:35Z    293.06     49.66     -1.21     -0.22   1093.35    895.04    282.27      8.13     10.45      1.23    167.24     79.81     79.49      0.3505156040     43.0832023600      8.76
2011-07-05T13:00:37Z    293.07     49.56     -1.19     -0.19   1109.09    893.41    282.25      8.13      8.91      1.21    170.38     80.42     77.30      0.3504586220     43.0832138100      7.87
2011-07-05T13:00:39Z    292.80     49.60     -1.19     -0.17   1124.46    891.82    282.00      8.00      7.92      1.20    170.47     80.21     81.71      0.3504661620     43.0831756600      7.69
2011-07-05T13:00:41Z    292.70     48.97     -1.20     -0.08   1138.64    890.35    281.73      7.87      3.84      1.20    169.50     80.18     84.42      0.3504888713     43.0831527700      7.09
2011-07-05T13:00:43Z    292.50     50.21     -1.21     -0.01   1153.66    888.80    281.92      7.98      0.64      1.21    167.13     80.22     86.65      0.3505370319     43.0831413300      7.51
2011-07-05T13:00:45Z    292.50     50.71     -1.21      0.02   1166.64    887.46    282.06      8.07    359.12      1.21    162.11     80.92     82.44      0.3506109715     43.0831947300      6.49
2011-07-05T13:00:47Z    292.30     50.80     -1.22      0.09   1179.69    886.11    281.90      7.99    355.65      1.22    165.47     79.82     94.94      0.3505925834     43.0830726600      6.52
2011-07-05T13:00:49Z    292.16     51.72     -1.21      0.13   1190.55    885.00    282.04      8.08    353.69      1.22    164.10     80.12     94.02      0.3506162465     43.0830879200      5.43
2011-07-05T13:00:51Z    292.22     51.43     -1.17      0.15   1206.16    883.39    282.01      8.07    352.74      1.18    165.47     79.48    103.09      0.3506175876     43.0830001800      7.81
2011-07-05T13:00:53Z    292.11     50.27     -1.12      0.16   1217.06    882.27    281.57      7.84    352.05      1.13    167.98     79.27    107.22      0.3505741060     43.0829544100      5.45
2011-07-05T13:00:55Z    292.05     49.72     -1.05      0.14   1232.12    880.72    281.35      7.74    352.34      1.06    165.63     79.57    106.97      0.3506260216     43.0829658500      7.53
2011-07-05T13:00:57Z    291.86     49.89     -1.05      0.14   1247.82    879.11    281.23      7.69    352.34      1.06    165.63     79.84    106.97      0.3506260216     43.0829658500      7.85
2011-07-05T13:00:59Z    291.76     49.07     -0.85      0.09   1265.20    877.34    280.90      7.53    354.16      0.86    169.46     79.33    115.70      0.3505598307     43.0828743000      8.69
2011-07-05T13:01:01Z    291.76     48.16     -0.74      0.05   1282.86    875.53    280.62      7.40    356.04      0.74    171.82     79.29    119.45      0.3505086601     43.0828361500      8.83
2011-07-05T13:01:03Z    291.66     45.89     -0.62      0.03   1298.61    873.93    279.83      7.01    357.28      0.62    174.21     79.36    121.70      0.3504507244     43.0828094500      7.88
2011-07-05T13:01:05Z    291.46     45.98     -0.51      0.03   1313.72    872.39    279.67      6.95    357.11      0.51    173.01     79.83    118.85      0.3504775465     43.0828399700      7.56
2011-07-05T13:01:07Z    291.40     46.22     -0.40      0.04   1330.31    870.70    279.69      6.97      0.00      0.40    174.36     80.03    119.41      0.3504440784     43.0828285200      8.29
2011-07-05T13:01:09Z    291.04     50.46     -0.31      0.07   1344.77    869.23    280.64      7.45      0.00      0.32    173.42     80.65    114.22      0.3504607677     43.0828781100      7.23
2011-07-05T13:01:11Z    291.01     48.34     -0.24      0.14   1359.12    867.77    279.99      7.14      0.00      0.28    174.57     80.62    116.95      0.3504359126     43.0828514100      7.17
2011-07-05T13:01:13Z    290.87     46.35     -0.19      0.23   1372.12    866.45    279.25      6.79      0.00      0.30    174.55     80.63    119.02      0.3504387140     43.0828323400      6.50
2011-07-05T13:01:15Z    290.65     49.53     -0.17      0.35   1387.10    864.94    280.01      7.17      0.00      0.39    172.93     81.00    116.58      0.3504762650     43.0828590400      7.49
2011-07-05T13:01:17Z    290.50     51.92     -0.17      0.50   1401.55    863.47    280.56      7.46    288.86      0.53    172.80     80.96    119.41      0.3504838347     43.0828323400      7.23
2011-07-05T13:01:19Z    290.39     50.59     -0.21      0.68   1415.95    862.02    280.07      7.22    287.14      0.71    173.72     81.30    117.11      0.3504572809     43.0828514100      7.20
2011-07-05T13:01:21Z    290.31     48.63     -0.28      0.89   1432.40    860.36    279.43      6.92    287.34      0.93    173.19     81.42    117.86      0.3504715860     43.0828476000      8.23
2011-07-05T13:01:23Z    290.27     46.39     -0.38      1.11   1445.84    859.00    278.71      6.59    288.74      1.17    172.86     81.66    116.52      0.3504778147     43.0828590400      6.72
2011-07-05T13:01:25Z    290.07     48.26     -0.50      1.36   1461.22    857.46    279.11      6.79    290.42      1.45    168.74     81.90    115.30      0.3505764306     43.0828819300      7.69
2011-07-05T13:01:27Z    290.35     35.61     -0.66      1.62   1476.94    855.88    275.04      5.09    292.18      1.75    169.57     81.53    122.95      0.3505734205     43.0828132600      7.86
2011-07-05T13:01:29Z    290.28     33.47     -0.84      1.89   1491.70    854.40    274.12      4.77    294.04      2.07    170.63     82.11    116.48      0.3505328000     43.0828666700      7.38
2011-07-05T13:01:31Z    290.12     36.82     -1.04      2.18   1504.79    853.09    275.30      5.20    295.57      2.42    167.57     82.42    113.58      0.3506000936     43.0829010000      6.54
2011-07-05T13:01:33Z    290.31     32.23     -1.25      2.46   1519.18    851.64    273.62      4.62    296.88      2.76    166.56     82.08    120.73      0.3506446183     43.0828437800      7.20
2011-07-05T13:01:35Z    290.47     30.55     -1.46      2.74   1533.96    850.17    273.02      4.43    298.06      3.11    162.84     81.76    127.92      0.3507635891     43.0827980000      7.39
2011-07-05T13:01:37Z    290.59     31.65     -1.67      3.01   1548.21    848.75    273.62      4.63    299.02      3.45    159.89     81.96    126.80      0.3508353233     43.0828285200      7.12
2011-07-05T13:01:39Z    290.52     31.72     -1.86      3.26   1564.41    847.14    273.58      4.63    299.78      3.75    158.95     81.72    132.84      0.3508858979     43.0827827500      8.10
2011-07-05T13:01:41Z    290.42     31.81     -2.04      3.48   1579.49    845.64    273.53      4.62    300.33      4.04    160.00     81.50    138.71      0.3508825302     43.0827255200      7.54
2011-07-05T13:01:43Z    290.46     31.51     -2.19      3.68   1592.85    844.32    273.43      4.59    300.73      4.28    156.63     81.08    147.76      0.3510198593     43.0826797500      6.68
2011-07-05T13:01:45Z    290.18     31.71     -2.30      3.84   1609.26    842.69    273.29      4.55    300.92      4.47    153.75     80.61    158.53      0.3511610925     43.0826187100      8.21
2011-07-05T13:01:47Z    290.10     31.50     -2.39      3.96   1625.46    841.09    273.12      4.51    301.07      4.63    152.09     80.08    170.45      0.3512797952     43.0825424200      8.10
2011-07-05T13:01:49Z    289.90     31.55     -2.44      4.06   1637.71    839.88    272.97      4.46    301.02      4.74    149.53     79.70    179.32      0.3514164984     43.0825080900      6.12
2011-07-05T13:01:51Z    289.84     30.54     -2.46      4.12   1652.16    838.46    272.47      4.31    300.84      4.80    147.35     79.05    193.71      0.3515833914     43.0824317900      7.23
2011-07-05T13:01:53Z    289.74     30.28     -2.47      4.16   1671.78    836.53    272.26      4.25    300.64      4.84    144.38     79.19    194.82      0.3516934812     43.0824737500      9.81
2011-07-05T13:01:55Z    289.62     30.41     -2.45      4.18   1684.53    835.27    272.22      4.25    300.34      4.85    144.16     79.05    200.01      0.3517381251     43.0824394200      6.38
2011-07-05T13:01:57Z    289.60     27.55     -2.42      4.19   1697.09    834.04    270.86      3.84    300.00      4.84    143.41     78.89    205.49      0.3518041670     43.0824165300      6.28
2011-07-05T13:01:59Z    289.63     25.48     -2.38      4.19   1713.17    832.46    269.84      3.57    299.60      4.82    143.52     78.31    219.78      0.3519046605     43.0823097200      8.04
2011-07-05T13:02:01Z    289.56     20.64     -2.34      4.20   1728.32    830.98    266.99      2.88    299.15      4.81    142.94     78.18    225.54      0.3519693315     43.0822792100      7.57
2011-07-05T13:02:03Z    289.48     20.38     -2.31      4.22   1742.93    829.55    266.76      2.83    298.72      4.81    142.37     77.74    237.27      0.3520791829     43.0822105400      7.31
2011-07-05T13:02:05Z    289.40     20.44     -2.28      4.24   1758.05    828.07    266.73      2.83    298.27      4.81    140.76     77.60    243.45      0.3521910608     43.0822029100      7.56
2011-07-05T13:02:07Z    289.30     20.75     -2.25      4.28   1772.81    826.63    266.84      2.86    297.77      4.84    140.83     77.22    254.50      0.3522739410     43.0821228000      7.38
2011-07-05T13:02:09Z    289.12     21.63     -2.24      4.33   1787.25    825.23    267.24      2.95    297.29      4.88    139.06     77.03    261.60      0.3524051309     43.0821228000      7.22
2011-07-05T13:02:11Z    289.17     21.88     -2.22      4.41   1802.18    823.77    267.42      3.00    296.76      4.94    138.55     76.81    269.78      0.3524928391     43.0820808400      7.47
2011-07-05T13:02:13Z    288.86     22.43     -2.20      4.49   1816.36    822.40    267.49      3.02    296.14      5.00    138.06     76.49    280.00      0.3525978327     43.0820236200      7.09
2011-07-05T13:02:15Z    288.80     21.76     -2.19      4.58   1831.96    820.88    267.04      2.93    295.52      5.07    137.50     76.17    290.67      0.3527117074     43.0819702100      7.80
2011-07-05T13:02:17Z    288.79     21.12     -2.16      4.67   1844.13    819.71    266.65      2.84    294.83      5.15    136.61     76.01    297.16      0.3528069556     43.0819549600      6.09
