                Date         T        RH         v         u    Height         P        TD        MR        DD        FF        AZ        El     Range               Lon               Lat        VV
2011-06-26T12:29:34Z    305.49     37.34      0.02     -2.33    651.47    945.05    289.14     12.10     90.52      2.33     32.18      1.93     13.86      0.3503906727     43.0840072600      0.00
2011-06-26T12:29:36Z    304.49     36.38      0.02     -2.62    654.94    944.68    287.85     11.14     90.47      2.62    296.24     27.91      7.45      0.3502179980     43.0839309700      1.74
2011-06-26T12:29:38Z    303.87     32.20      0.02     -2.87    666.40    943.48    285.44      9.51     90.44      2.87    285.68     40.79     17.84      0.3500890434     43.0839424100      5.73
2011-06-26T12:29:40Z    303.10     30.75      0.03     -3.09    676.17    942.45    284.08      8.70     90.51      3.09    281.38     41.61     28.34      0.3499587476     43.0839500400      4.89
2011-06-26T12:29:42Z    302.97     31.35      0.04     -3.27    685.98    941.41    284.26      8.82     90.64      3.27    280.42     42.40     38.31      0.3498373032     43.0839614900      4.90
2011-06-26T12:29:44Z    302.91     31.82      0.04     -3.42    696.29    940.32    284.43      8.93     90.70      3.42    283.47     45.95     43.82      0.3497767150     43.0839920000      5.16
2011-06-26T12:29:46Z    302.94     31.87      0.05     -3.53    704.94    939.41    284.48      8.97     90.81      3.53    287.05     47.31     49.76      0.3497157395     43.0840301500      4.32
2011-06-26T12:29:48Z    302.58     32.51      0.06     -3.59    715.82    938.26    284.47      8.97     90.88      3.60    280.67     49.09     56.17      0.3496221602     43.0839920000      5.44
2011-06-26T12:29:50Z    302.66     33.10      0.05     -3.63    725.92    937.20    284.80      9.18     90.85      3.63    279.71     49.55     63.87      0.3495269120     43.0839958200      5.05
2011-06-26T12:29:52Z    302.58     33.25      0.05     -3.65    739.25    935.80    284.80      9.20     90.79      3.65    277.36     51.59     69.97      0.3494478464     43.0839805600      6.66
2011-06-26T12:29:54Z    302.42     33.29      0.04     -3.65    750.46    934.62    284.68      9.13     90.66      3.65    279.64     52.47     76.42      0.3493748307     43.0840148900      5.61
2011-06-26T12:29:56Z    302.30     32.85      0.03     -3.64    762.17    933.39    284.38      8.96     90.48      3.64    279.67     52.24     86.12      0.3492574096     43.0840301500      5.85
2011-06-26T12:29:58Z    302.30     33.18      0.02     -3.62    771.68    932.40    284.53      9.06     90.25      3.62    280.32     51.82     94.89      0.3491536081     43.0840530400      4.76
2011-06-26T12:30:00Z    302.10     33.61     -0.00     -3.61    786.22    930.87    284.55      9.08     89.94      3.61    279.47     53.99     98.29      0.3491094112     43.0840454100      7.27
2011-06-26T12:30:02Z    302.16     33.83     -0.02     -3.60    798.53    929.59    284.69      9.19     89.65      3.60    276.85     53.27    110.07      0.3489578962     43.0840187100      6.16
2011-06-26T12:30:04Z    302.01     34.42     -0.04     -3.61    809.94    928.39    284.83      9.28     89.33      3.61    274.14     53.91    115.88      0.3488806486     43.0839767500      5.71
2011-06-26T12:30:06Z    301.89     34.46     -0.06     -3.62    820.93    927.25    284.74      9.23     89.04      3.62    274.57     54.35    121.86      0.3488081992     43.0839881900      5.50
2011-06-26T12:30:08Z    301.65     34.83     -0.07     -3.63    833.36    925.95    284.69      9.21     88.87      3.64    275.38     54.25    131.30      0.3486946523     43.0840110800      6.22
2011-06-26T12:30:10Z    301.72     34.96     -0.08     -3.66    844.48    924.79    284.81      9.30     88.75      3.66    275.54     54.60    137.51      0.3486192524     43.0840187100      5.56
