                Date         T        RH         v         u    Height         P        TD        MR        DD        FF        AZ        El     Range               Lon               Lat        VV
2011-06-15T16:49:13Z    295.92     62.95     -0.11     -1.11    644.48    944.80    288.53     11.64     84.44      1.12     54.67      0.00     10.34      0.3495795429     43.0848541300      0.00
2011-06-15T16:49:15Z    295.73     63.06     -0.14     -1.31    648.77    944.34    288.38     11.54     83.75      1.32     52.04 -32768.00      8.65      0.3495597243     43.0848465000      2.15
2011-06-15T16:49:17Z    295.37     62.20     -0.18     -1.51    660.37    943.08    287.82     11.14     83.26      1.52     53.12     53.59      6.92      0.3495439291     43.0848388700      5.80
2011-06-15T16:49:19Z    295.21     62.88     -0.21     -1.69    671.53    941.87    287.84     11.17     82.90      1.71    274.56     82.65      2.65      0.3494435847     43.0848007200      5.58
2011-06-15T16:49:21Z    295.08     63.54     -0.24     -1.86    682.60    940.67    287.88     11.22     82.63      1.88    264.58     65.10     14.67      0.3492966890     43.0847892800      5.53
2011-06-15T16:49:23Z    295.08     63.12     -0.27     -2.02    690.97    939.77    287.77     11.15     82.43      2.03    277.77     66.93     17.02      0.3492688537     43.0848197900      4.19
2011-06-15T16:49:25Z    295.05     63.68     -0.29     -2.14    702.15    938.56    287.88     11.25     82.31      2.16    268.37     68.89     19.74      0.3492336273     43.0847930900      5.59
2011-06-15T16:49:27Z    294.86     64.29     -0.30     -2.24    715.42    937.13    287.86     11.25     82.27      2.27    255.74     65.95     28.75      0.3491338193     43.0847358700      6.64
2011-06-15T16:49:29Z    294.83     64.85     -0.32     -2.33    725.71    936.02    287.95     11.33     82.23      2.35    256.34     65.00     34.84      0.3490602374     43.0847244300      5.14
2011-06-15T16:49:31Z    294.67     65.49     -0.32     -2.39    734.32    935.09    287.96     11.35     82.33      2.41    260.06     63.71     41.17      0.3489779830     43.0847358700      4.31
2011-06-15T16:49:33Z    294.62     65.96     -0.32     -2.43    745.34    933.91    288.02     11.41     82.58      2.45    259.95     65.17     43.65      0.3489481211     43.0847320600      5.51
2011-06-15T16:49:35Z    294.54     66.12     -0.31     -2.46    759.75    932.36    287.98     11.41     82.90      2.48    261.67     66.51     47.26      0.3489017487     43.0847396900      7.21
2011-06-15T16:49:37Z    294.36     66.59     -0.29     -2.49    771.11    931.14    287.92     11.38     83.32      2.50    258.43     65.47     54.81      0.3488166332     43.0847015400      5.68
2011-06-15T16:49:39Z    294.27     67.50     -0.27     -2.51    781.21    930.06    288.05     11.49     83.85      2.53    260.93     65.33     59.80      0.3487507701     43.0847168000      5.05
2011-06-15T16:49:41Z    294.21     67.32     -0.24     -2.54    791.61    928.94    287.94     11.43     84.50      2.55    262.46     65.10     65.26      0.3486815393     43.0847244300      5.20
2011-06-15T16:49:43Z    294.17     67.65     -0.21     -2.57    801.68    927.87    287.98     11.47     85.22      2.58    262.77     67.64     61.98      0.3487209082     43.0847282400      5.03
2011-06-15T16:49:45Z    293.99     68.13     -0.18     -2.59    812.39    926.72    287.92     11.44     85.93      2.60    264.58     67.61     66.47      0.3486633003     43.0847435000      5.36
2011-06-15T16:49:47Z    293.88     68.75     -0.16     -2.62    824.81    925.39    287.96     11.49     86.51      2.62    260.99     67.73     71.17      0.3486127853     43.0847015400      6.21
2011-06-15T16:49:49Z    293.80     68.73     -0.14     -2.64    836.41    924.15    287.87     11.45     86.98      2.65    262.07     66.56     80.40      0.3484981060     43.0847015400      5.80
2011-06-15T16:49:51Z    293.61     69.18     -0.13     -2.66    848.26    922.89    287.79     11.40     87.28      2.66    260.12     65.46     90.05      0.3483864963     43.0846595800      5.93
2011-06-15T16:49:53Z    293.56     69.63     -0.12     -2.67    861.28    921.50    287.84     11.46     87.38      2.67    262.05     64.83     98.82      0.3482741117     43.0846786500      6.51
2011-06-15T16:49:55Z    293.49     70.01     -0.12     -2.66    870.76    920.49    287.86     11.49     87.35      2.67    262.20     63.22    110.90      0.3481266201     43.0846633900      4.74
2011-06-15T16:49:57Z    293.38     70.55     -0.14     -2.65    881.30    919.37    287.87     11.52     87.05      2.65    265.19     63.26    116.02      0.3480561972     43.0847129800      5.27
2011-06-15T16:49:59Z    293.30     70.93     -0.16     -2.61    892.29    918.20    287.88     11.54     86.42      2.62    265.58     64.98    112.64      0.3480967581     43.0847206100      5.50
2011-06-15T16:50:01Z    293.18     71.73     -0.20     -2.57    904.95    916.86    287.94     11.61     85.58      2.58    260.09     65.05    118.14      0.3480468094     43.0846176100      6.33
2011-06-15T16:50:03Z    293.02     71.84     -0.24     -2.52    914.75    915.82    287.81     11.52     84.48      2.53    261.41     64.23    127.31      0.3479301035     43.0846290600      4.90
2011-06-15T16:50:05Z    292.94     72.33     -0.30     -2.46    925.76    914.65    287.83     11.55     83.15      2.48    263.43     65.19    127.02      0.3479263186     43.0846710200      5.50
2011-06-15T16:50:07Z    292.89     72.46     -0.35     -2.40    935.65    913.61    287.82     11.55     81.75      2.42    264.24     64.32    136.84      0.3478040099     43.0846748400      4.94
2011-06-15T16:50:09Z    292.74     72.89     -0.40     -2.34    948.97    912.20    287.77     11.53     80.31      2.37    263.05     64.14    144.46      0.3477149606     43.0846443200      6.66
