                Date         T        RH         v         u    Height         P        TD        MR        DD        FF        AZ        El     Range               Lon               Lat        VV
2011-06-25T17:08:08Z    297.73     37.85      0.72     -1.93    650.13    948.19    282.47      7.72    110.58      2.06     16.48      0.00     12.80      0.3495176136     43.0849113500      0.00
2011-06-25T17:08:10Z    297.55     37.23      0.78     -2.24    656.75    947.48    282.07      7.52    109.17      2.38    355.92     24.65     12.52      0.3494620323     43.0849113500      3.31
2011-06-25T17:08:12Z    297.05     36.82      0.81     -2.55    666.13    946.46    281.45      7.22    107.67      2.68    312.88     34.29     22.19      0.3492733240     43.0849342300      4.69
2011-06-25T17:08:14Z    296.73     36.53      0.82     -2.84    681.83    944.76    281.06      7.04    106.12      2.96    309.76     44.48     31.39      0.3491766751     43.0849800100      7.85
2011-06-25T17:08:16Z    296.68     37.44      0.81     -3.11    694.78    943.36    281.37      7.20    104.55      3.21    311.87     44.44     44.65      0.3490646780     43.0850677500      6.48
2011-06-25T17:08:18Z    296.55     38.61      0.77     -3.33    708.57    941.87    281.71      7.39    102.96      3.42    315.59     48.37     51.16      0.3490333259     43.0851287800      6.89
2011-06-25T17:08:20Z    296.41     38.50      0.71     -3.51    721.07    940.52    281.54      7.31    101.36      3.58    320.37     64.38     33.61      0.3492097259     43.0850334200      6.25
2011-06-25T17:08:22Z    296.22     39.56      0.63     -3.65    735.32    938.98    281.78      7.44     99.78      3.70    303.82     57.07     54.61      0.3489158154     43.0850753800      7.12
2011-06-25T17:08:24Z    296.12     39.77      0.55     -3.73    745.19    937.92    281.76      7.45     98.36      3.77    295.48     59.06     56.46      0.3488470614     43.0850181600      4.94
2011-06-25T17:08:26Z    295.99     39.88      0.46     -3.77    763.20    935.98    281.69      7.42     96.99      3.80    292.91     55.05     78.42      0.3485859334     43.0850753800      9.00
2011-06-25T17:08:28Z    295.86     40.14      0.46     -3.77    775.86    934.62    281.67      7.43     96.99      3.80    292.91     57.87     78.42      0.3485859334     43.0850753800      6.33
2011-06-25T17:08:30Z    295.91     40.25      0.46     -3.77    788.67    933.24    281.75      7.48     96.99      3.80    292.91     60.33     78.42      0.3485859334     43.0850753800      6.41
2011-06-25T17:08:32Z    295.58     40.43      0.46     -3.77    801.24    931.89    281.52      7.38     96.99      3.80    292.91     62.44     78.42      0.3485859334     43.0850753800      6.28
2011-06-25T17:08:34Z    295.51     40.37 -32768.00 -32768.00    815.04    930.42    281.44      7.35 -32768.00 -32768.00 -32768.00 -32768.00 -32768.00 -32768.0000000000 -32768.0000000000      6.90
2011-06-25T17:08:36Z    295.38     40.93 -32768.00 -32768.00    826.84    929.15    281.52      7.40 -32768.00 -32768.00 -32768.00 -32768.00 -32768.00 -32768.0000000000 -32768.0000000000      5.90
2011-06-25T17:08:38Z    295.25     40.95      0.07     -3.42    836.30    928.14    281.41      7.35     91.10      3.42    296.19     51.69    146.40      0.3478596210     43.0853805500      4.73
2011-06-25T17:08:40Z    295.16     41.08      0.01     -3.32    847.45    926.95    281.38      7.35     90.24      3.32    279.30     53.13    147.34      0.3476873636     43.0850143400      5.57
2011-06-25T17:08:42Z    295.11     41.05     -0.04     -3.24    857.38    925.89    281.32      7.33     89.26      3.24    280.35     53.68    151.72      0.3476400673     43.0850448600      4.97
2011-06-25T17:08:44Z    294.99     41.33     -0.11     -3.17    867.88    924.77    281.31      7.34     88.05      3.17    281.57     52.97    163.58      0.3475049734     43.0850944500      5.25
2011-06-25T17:08:46Z    294.84     41.69     -0.14     -3.14    880.56    923.42    281.31      7.35     87.36      3.14    278.78     54.83    161.74      0.3475100100     43.0850219700      6.34
2011-06-25T17:08:48Z    294.80     41.81     -0.14     -3.14    886.45    922.79    281.32      7.36     87.36      3.14    278.78     55.51    161.74      0.3475100100     43.0850219700      2.94
2011-06-25T17:08:50Z    294.68     41.97     -0.14     -3.14    900.99    921.24    281.26      7.34     87.36      3.14    278.78     57.10    161.74      0.3475100100     43.0850219700      7.27
2011-06-25T17:08:52Z    294.78     42.10 -32768.00 -32768.00    911.23    920.16    281.39      7.42 -32768.00 -32768.00 -32768.00 -32768.00 -32768.00 -32768.0000000000 -32768.0000000000      5.12
2011-06-25T17:08:54Z    294.45     42.20 -32768.00 -32768.00    924.98    918.70    281.14      7.30 -32768.00 -32768.00 -32768.00 -32768.00 -32768.00 -32768.0000000000 -32768.0000000000      6.87
2011-06-25T17:08:56Z    294.35     42.58 -32768.00 -32768.00    935.94    917.53    281.17      7.33 -32768.00 -32768.00 -32768.00 -32768.00 -32768.00 -32768.0000000000 -32768.0000000000      5.48
2011-06-25T17:08:58Z    294.25     42.78     -0.62     -3.36    945.02    916.57    281.16      7.33     79.60      3.42    276.32     53.21    219.86      0.3467893600     43.0850181600      4.54
2011-06-25T17:09:00Z    294.16     43.40     -0.64     -3.51    956.36    915.37    281.28      7.41     79.59      3.57    275.56     53.16    228.80      0.3466763794     43.0849990800      5.67
2011-06-25T17:09:02Z    294.06     43.72     -0.66     -3.68    969.43    913.99    281.31      7.43     79.89      3.74    273.02     53.81    232.97      0.3466158807     43.0849113500      6.54
2011-06-25T17:09:04Z    293.95     44.02     -0.65     -3.86    981.25    912.74    281.30      7.44     80.50      3.92    270.94     53.95    240.34      0.3465218842     43.0848350500      5.91
2011-06-25T17:09:06Z    293.83     44.64     -0.62     -4.06    990.16    911.80    281.40      7.50     81.29      4.11    270.65     54.47    242.20      0.3464987576     43.0848236100      4.45
2011-06-25T17:09:08Z    293.73     44.49     -0.58     -4.26   1003.88    910.35    281.26      7.44     82.18      4.30    271.13     54.50    251.67      0.3463829458     43.0848465000      6.86
2011-06-25T17:09:10Z    293.64     45.02     -0.54     -4.45   1012.86    909.41    281.35      7.50     83.11      4.48    280.18     54.66    256.55      0.3463719487     43.0852088900      4.49
