                Date         T        RH         v         u    Height         P        TD        MR        DD        FF        AZ        El     Range               Lon               Lat        VV
2011-06-20T18:03:23Z    298.00     49.98     -0.54     -1.78    648.41    943.68    286.90     10.45     73.15      1.86     88.00 -32768.00     11.24      0.3504379988     43.0839042700      0.00
2011-06-20T18:03:25Z    297.73     50.29     -0.63     -2.02    653.96    943.08    286.75     10.35     72.80      2.11     65.35     23.41      6.83      0.3503762484     43.0839271500      2.77
2011-06-20T18:03:27Z    297.39     49.38     -0.70     -2.25    661.37    942.28    286.16      9.97     72.61      2.36    265.20     80.29      1.77      0.3502782881     43.0839004500      3.71
2011-06-20T18:03:29Z    297.16     49.12     -0.77     -2.47    676.99    940.60    285.87      9.79     72.60      2.59    268.17     66.87     11.10      0.3501637280     43.0838966400      7.81
2011-06-20T18:03:31Z    297.01     50.02     -0.83     -2.67    689.51    939.26    286.01      9.90     72.80      2.79    255.13     64.75     18.16      0.3500843942     43.0838584900      6.26
2011-06-20T18:03:33Z    296.95     50.66     -0.86     -2.85    702.91    937.82    286.15     10.01     73.22      2.98    258.63     64.92     24.30      0.3500074744     43.0838584900      6.70
2011-06-20T18:03:35Z    296.84     50.85     -0.87     -3.01    716.22    936.39    286.10      9.99     73.92      3.13    261.46     65.47     29.76      0.3499385715     43.0838584900      6.65
2011-06-20T18:03:37Z    296.74     51.36     -0.85     -3.16    728.36    935.10    286.16     10.05     74.89      3.27    252.98     63.90     37.90      0.3498549461     43.0838012700      6.07
2011-06-20T18:03:39Z    296.72     51.43     -0.82     -3.29    740.22    933.83    286.16     10.07     76.02      3.39    245.50     65.75     40.19      0.3498508632     43.0837516800      5.93
2011-06-20T18:03:41Z    296.47     51.99     -0.77     -3.40    749.92    932.79    286.10     10.04     77.28      3.49    249.24     63.68     48.93      0.3497380912     43.0837440500      4.85
2011-06-20T18:03:43Z    296.43     52.30     -0.71     -3.51    761.66    931.54    286.15     10.08     78.65      3.58    253.69     62.49     57.64      0.3496206403     43.0837554900      5.87
2011-06-20T18:03:45Z    296.30     52.82     -0.64     -3.61    772.69    930.36    286.18     10.12     80.01      3.66    253.66     62.23     64.09      0.3495447338     43.0837364200      5.51
2011-06-20T18:03:47Z    296.17     53.18     -0.57     -3.69    785.30    929.02    286.17     10.13     81.30      3.74    257.17     61.62     72.55      0.3494312763     43.0837554900      6.31
2011-06-20T18:03:49Z    296.03     53.59     -0.50     -3.77    797.72    927.70    286.16     10.14     82.44      3.80    256.99     61.10     80.99      0.3493309021     43.0837364200      6.21
2011-06-20T18:03:51Z    295.99     53.72     -0.45     -3.83    810.84    926.30    286.15     10.15     83.31      3.85    256.54     62.63     82.74      0.3493117988     43.0837249800      6.56
2011-06-20T18:03:53Z    295.85     54.17     -0.42     -3.87    822.16    925.10    286.15     10.16     83.87      3.89    259.16     61.64     92.38      0.3491857052     43.0837440500      5.66
2011-06-20T18:03:55Z    295.72     54.31     -0.40     -3.88    833.70    923.87    286.06     10.12     84.12      3.90    261.81     60.51    103.34      0.3490439057     43.0837669400      5.77
2011-06-20T18:03:57Z    295.63     54.67     -0.40     -3.88    845.05    922.67    286.09     10.15     84.05      3.90    262.83     59.26    115.41      0.3488937616     43.0837707500      5.68
2011-06-20T18:03:59Z    295.46     54.96     -0.43     -3.85    859.16    921.17    286.01     10.12     83.62      3.87    264.08     60.04    120.00      0.3488341272     43.0837898300      7.05
