                Date         T        RH         v         u    Height         P        TD        MR        DD        FF        AZ        El     Range               Lon               Lat        VV
2011-06-25T14:10:36Z    297.39     40.72      0.15     -2.27    655.66    948.79    283.25      8.14     93.71      2.27     15.95     25.63      9.72      0.3503327966     43.0839843800      0.00
2011-06-25T14:10:38Z    296.97     39.42      0.20     -2.66    667.77    947.48    282.40      7.69     94.33      2.67     16.67     65.90      7.50      0.3503264487     43.0839653000      6.06
2011-06-25T14:10:40Z    296.46     39.91      0.26     -3.05    680.95    946.05    282.12      7.56     94.86      3.06    344.09     64.17     14.50      0.3502511978     43.0840263400      6.59
2011-06-25T14:10:42Z    295.68     38.66      0.32     -3.43    693.04    944.74    280.95      6.99     95.39      3.44    298.13     64.44     20.11      0.3500822484     43.0839843800      6.04
2011-06-25T14:10:44Z    295.32     39.68      0.39     -3.78    701.89    943.77    281.01      7.04     95.86      3.80    289.57     59.59     29.87      0.3499544263     43.0839881900      4.43
2011-06-25T14:10:46Z    295.23     40.99      0.46     -4.09    714.87    942.37    281.41      7.24     96.36      4.12    268.35     56.61     42.10      0.3497831821     43.0838890100      6.49
2011-06-25T14:10:48Z    295.10     41.92      0.49     -4.24    727.25    941.02    281.62      7.36     96.61      4.27    266.16     57.94     47.75      0.3497149348     43.0838699300      6.19
2011-06-25T14:10:50Z    295.12     42.62      0.49     -4.24    739.25    939.72    281.88      7.50     96.61      4.27    266.16     61.58     47.75      0.3497149348     43.0838699300      6.00
2011-06-25T14:10:52Z    294.97     43.06      0.49     -4.24    752.15    938.33    281.90      7.53     96.61      4.27    266.16     64.73     47.75      0.3497149348     43.0838699300      6.45
2011-06-25T14:10:54Z    294.93     43.27 -32768.00 -32768.00    762.14    937.25    281.94      7.56 -32768.00 -32768.00 -32768.00 -32768.00 -32768.00 -32768.0000000000 -32768.0000000000      5.00
2011-06-25T14:10:56Z    294.75     43.49      0.74     -4.99    775.20    935.84    281.85      7.52     98.48      5.04    289.87     53.70     91.23      0.3492463529     43.0841789200      6.53
2011-06-25T14:10:58Z    294.64     44.05      0.78     -5.03    786.87    934.58    281.94      7.58     98.77      5.09    287.22     53.14    101.88      0.3491049409     43.0841713000      5.84
2011-06-25T14:11:00Z    294.54     44.42      0.80     -5.04    799.83    933.18    281.97      7.61     99.02      5.10    286.83     52.67    113.50      0.3489658535     43.0841941800      6.48
2011-06-25T14:11:02Z    294.43     44.75      0.81     -5.01    810.85    931.99    281.98      7.63     99.17      5.08    286.70     52.17    124.11      0.3488401771     43.0842208900      5.51
2011-06-25T14:11:04Z    294.28     45.40      0.81     -4.98    824.70    930.50    282.06      7.68     99.21      5.04    283.51     51.92    136.12      0.3486746848     43.0841865500      6.93
2011-06-25T14:11:06Z    294.18     44.80      0.80     -4.93    835.86    929.30    281.77      7.55     99.19      4.99    284.19     51.03    149.54      0.3485195637     43.0842285200      5.58
2011-06-25T14:11:08Z    294.26     45.84      0.78     -4.87    849.40    927.85    282.18      7.77     99.10      4.93    283.60     50.92    161.13      0.3483767509     43.0842399600      6.77
2011-06-25T14:11:10Z    293.97     45.96      0.75     -4.81    864.25    926.26    281.95      7.67     98.90      4.86    285.19     51.59    169.05      0.3482965529     43.0842971800      7.42
2011-06-25T14:11:12Z    293.76     44.73      0.72     -4.75    876.23    924.97    281.37      7.38     98.63      4.80    282.52     51.85    176.94      0.3481787145     43.0842437700      5.99
2011-06-25T14:11:14Z    293.68     45.17      0.68     -4.69    887.57    923.76    281.44      7.42     98.25      4.74    282.82     51.60    187.51      0.3480546176     43.0842742900      5.67
2011-06-25T14:11:16Z    293.49     45.74      0.65     -4.64    902.08    922.21    281.45      7.45     97.93      4.68    283.42     52.40    193.33      0.3479906023     43.0843048100      7.26
2011-06-25T14:11:18Z    293.34     45.63      0.60     -4.60    917.00    920.62    281.28      7.38     97.46      4.64    283.70     52.52    203.93      0.3478668928     43.0843353300      7.46
2011-06-25T14:11:20Z    293.18     45.85      0.55     -4.57    930.80    919.14    281.20      7.35     96.91      4.60    282.73     52.45    215.06      0.3477238119     43.0843277000      6.90
2011-06-25T14:11:22Z    293.08     46.03      0.50     -4.54    943.40    917.80    281.17      7.34     96.35      4.56    281.78     53.01    220.23      0.3476524055     43.0843048100      6.30
