                Date         T        RH         v         u    Height         P        TD        MR        DD        FF        AZ        El     Range               Lon               Lat        VV
2011-06-26T15:27:36Z    304.30     33.50      0.37     -1.60    653.76    944.31    286.42     10.14    103.07      1.65      5.42     15.99      9.62      0.3503111601     43.0839843800      0.00
2011-06-26T15:27:38Z    304.02     32.58      0.39     -1.84    656.75    943.99    285.75      9.70    101.86      1.88    319.88     30.74      9.68      0.3502234221     43.0839653000      1.50
2011-06-26T15:27:40Z    303.86     35.34      0.38     -2.05    670.60    942.53    286.86     10.47    100.48      2.09    312.95     53.15     14.69      0.3501679599     43.0839881900      6.92
2011-06-26T15:27:42Z    303.44     33.34      0.35     -2.26    682.50    941.28    285.60      9.65     98.92      2.29    315.69     47.09     29.27      0.3500488997     43.0840873700      5.95
2011-06-26T15:27:44Z    303.29     34.59      0.31     -2.44    695.26    939.94    286.03      9.94     97.22      2.46    318.45     49.91     37.26      0.3499965072     43.0841522200      6.38
2011-06-26T15:27:46Z    303.21     35.15      0.25     -2.59    703.42    939.08    286.20     10.07     95.42      2.61    314.16     55.22     36.40      0.3499793410     43.0841293300      4.08
2011-06-26T15:27:48Z    303.11     34.52      0.17     -2.72    715.05    937.86    285.84      9.85     93.54      2.73    307.75     60.52     36.20      0.3499484360     43.0840988200      5.82
2011-06-26T15:27:50Z    303.00     35.11      0.08     -2.83    723.55    936.97    286.00      9.96     91.68      2.83    291.79     61.16     39.94      0.3498445153     43.0840339700      4.25
2011-06-26T15:27:52Z    302.90     35.37     -0.00     -2.91    732.94    935.98    286.03      9.98     89.94      2.91    284.39     59.40     48.46      0.3497235179     43.0840072600      4.69
2011-06-26T15:27:54Z    302.91     35.37     -0.09     -2.98    743.00    934.92    286.03     10.00     88.36      2.99    288.99     57.44     58.74      0.3496178985     43.0840721100      5.03
2011-06-26T15:27:56Z    302.77     35.59     -0.15     -3.05    752.64    933.91    286.00      9.99     87.12      3.06    289.04     55.65     69.47      0.3494935036     43.0841026300      4.82
2011-06-26T15:27:58Z    302.68     36.29     -0.20     -3.12    763.58    932.77    286.22     10.15     86.39      3.13    285.79     56.66     74.07      0.3494247794     43.0840797400      5.47
2011-06-26T15:28:00Z    302.55     36.78     -0.21     -3.20    775.05    931.57    286.31     10.22     86.28      3.21    283.37     58.59     75.76      0.3493948281     43.0840568500      5.73
2011-06-26T15:28:02Z    302.44     37.55     -0.18     -3.29    783.74    930.66    286.53     10.38     86.78      3.30    281.41     58.94     79.95      0.3493376076     43.0840416000      4.35
2011-06-26T15:28:04Z    302.33     37.69     -0.13     -3.39    796.40    929.34    286.49     10.36     87.87      3.39    277.99     60.44     82.45      0.3492972851     43.0840034500      6.33
2011-06-26T15:28:06Z    302.25     38.13     -0.04     -3.50    808.08    928.12    286.59     10.45     89.42      3.50    279.77     62.04     83.37      0.3492910862     43.0840263400      5.84
2011-06-26T15:28:08Z    302.18     38.26      0.08     -3.62    816.84    927.21    286.58     10.45     91.28      3.63    281.08     62.27     87.19      0.3492492437     43.0840492200      4.38
2011-06-26T15:28:10Z    302.10     38.01      0.21     -3.75    827.22    926.13    286.41     10.34     93.27      3.76    274.94     61.77     94.62      0.3491423428     43.0839729300      5.19
2011-06-26T15:28:12Z    302.04     38.07      0.36     -3.88    836.40    925.17    286.38     10.33     95.25      3.90    272.52     61.21    101.87      0.3490501344     43.0839386000      4.59
2011-06-26T15:28:14Z    301.87     38.64      0.49     -4.00    847.71    924.00    286.46     10.40     97.04      4.03    270.73     60.14    112.92      0.3489134312     43.0839119000      5.65
2011-06-26T15:28:16Z    301.82     38.39      0.61     -4.12    857.37    922.99    286.32     10.31     98.49      4.16    271.18     58.06    128.66      0.3487203419     43.0839233400      4.83
2011-06-26T15:28:18Z    301.70     38.69      0.71     -4.22    869.06    921.78    286.34     10.33     99.51      4.27    274.47     56.74    143.04      0.3485487103     43.0839996300      5.85
2011-06-26T15:28:20Z    301.62     38.93      0.76     -4.30    878.62    920.79    286.36     10.36    100.06      4.37    278.75     56.30    151.78      0.3484577537     43.0841064500      4.78
2011-06-26T15:28:22Z    301.65     38.88      0.78     -4.38    889.05    919.71    286.36     10.37    100.07      4.45    279.32     56.41    158.07      0.3483843803     43.0841293300      5.21
2011-06-26T15:28:24Z    301.38     39.24      0.75     -4.44    900.02    918.57    286.26     10.31     99.58      4.51    281.12     56.58    164.34      0.3483197391     43.0841865500      5.49
2011-06-26T15:28:26Z    301.32     39.24      0.68     -4.51    912.31    917.30    286.20     10.29     98.63      4.56    281.02     56.58    172.45      0.3482213020     43.0841980000      6.14
2011-06-26T15:28:28Z    301.23     39.10      0.59     -4.57    923.79    916.12    286.07     10.21     97.37      4.61    279.17     55.56    187.09      0.3480317593     43.0841674800      5.74
2011-06-26T15:28:30Z    301.09     39.13      0.48     -4.64    934.46    915.01    285.96     10.14     95.92      4.66    280.66     54.96    198.80      0.3479008079     43.0842323300      5.33
