                Date         T        RH         v         u    Height         P        TD        MR        DD        FF        AZ        El     Range               Lon               Lat        VV
2011-07-01T15:00:59Z    296.25     41.35     -1.42      0.42    657.71    944.77    282.45      7.75    343.48      1.48     38.03     31.61     10.90      0.3503824770     43.0839767500      0.00
2011-07-01T15:01:01Z    295.20     39.45     -1.69      0.50    661.27    944.38    280.82      6.94    343.60      1.77     45.27     52.43      7.90      0.3503689468     43.0839500400      1.78
2011-07-01T15:01:03Z    293.04     36.29     -1.97      0.57    674.02    942.99    277.69      5.61    343.90      2.05    101.67     71.35      7.77      0.3503934145     43.0838851900      6.37
2011-07-01T15:01:05Z    293.44     37.72     -2.25      0.63    684.06    941.89    278.60      5.98    344.36      2.34    118.51     66.43     14.42      0.3504556417     43.0838394200      5.02
2011-07-01T15:01:07Z    292.76     39.22     -2.53      0.68    695.17    940.68    278.55      5.97    344.95      2.62    153.80     66.15     19.53      0.3504059017     43.0837440500      5.56
2011-07-01T15:01:09Z    292.71     40.29     -2.79      0.71    704.14    939.70    278.90      6.12    345.70      2.88    155.60     67.88     21.60      0.3504095674     43.0837211600      4.48
2011-07-01T15:01:11Z    292.57     41.24     -3.04      0.73    715.16    938.49    279.11      6.22    346.49      3.13    152.26     64.76     30.24      0.3504728675     43.0836601300      5.51
2011-07-01T15:01:13Z    292.69     41.73     -3.27      0.74    724.84    937.44    279.39      6.35    347.33      3.36    152.28     61.39     40.28      0.3505300879     43.0835800200      4.84
2011-07-01T15:01:15Z    292.50     42.44     -3.48      0.73    735.43    936.28    279.45      6.38    348.19      3.56    148.69     61.90     45.09      0.3505876958     43.0835533100      5.30
2011-07-01T15:01:17Z    292.56     42.60     -3.66      0.71    744.58    935.29    279.56      6.44    349.09      3.73    156.55     61.93     49.90      0.3505437970     43.0834884600      4.57
2011-07-01T15:01:19Z    292.27     43.32     -3.82      0.68    753.12    934.36    279.55      6.44    349.96      3.88    156.47     60.66     57.39      0.3505814075     43.0834274300      4.27
2011-07-01T15:01:21Z    292.20     43.55     -3.95      0.64    765.12    933.05    279.56      6.45    350.75      4.00    156.61     58.97     68.65      0.3506346941     43.0833320600      6.00
2011-07-01T15:01:23Z    292.15     43.63     -4.05      0.61    776.53    931.81    279.54      6.45    351.50      4.10    161.75     58.50     76.91      0.3505957425     43.0832443200      5.71
2011-07-01T15:01:25Z    292.00     43.86     -4.12      0.57    788.54    930.51    279.48      6.43    352.15      4.16    165.59     58.12     85.55      0.3505614996     43.0831527700      6.00
2011-07-01T15:01:27Z    291.88     44.05     -4.16      0.53    800.63    929.20    279.43      6.42    352.69      4.19    166.10     58.20     92.78      0.3505736589     43.0830879200      6.04
2011-07-01T15:01:29Z    291.74     44.45     -4.17      0.50    812.32    927.93    279.44      6.43    353.20      4.20    166.15     58.82     97.61      0.3505869806     43.0830459600      5.85
2011-07-01T15:01:31Z    291.69     44.63     -4.14      0.47    822.05    926.88    279.45      6.44    353.58      4.17    167.97     58.39    105.29      0.3505694270     43.0829734800      4.86
2011-07-01T15:01:33Z    291.58     44.70     -4.09      0.44    831.50    925.86    279.38      6.41    353.91      4.11    169.37     58.05    112.56      0.3505550623     43.0829048200      4.73
