NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,2,-1.71,2.1,0.09,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,1,1.51,0.58,0.33,NaN,2,2.5,2.89,0.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51700000,NaN,0,NaN,0
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,4,-0.43,2.56,0.16,-0.46,10,-0.46,5.31,0.17,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,1,1.64,0.63,0.35,NaN,2,1.26,2.51,0.42,NaN,NaN,NaN,NaN,-0.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5220,NaN,0,NaN,0
NaN,NaN,NaN,2,-1.32,1.46,0.07,NaN,4,-0.55,4.45,0.28,0.01,10,0.01,6.08,0.2,NaN,NaN,5,1.88,1.17,0.51,NaN,NaN,5,0.6,1.55,0.63,NaN,2,1.07,2.72,0.46,NaN,NaN,NaN,NaN,-0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3190,NaN,0,NaN,0
NaN,NaN,NaN,5,-0.8,1.39,0.12,NaN,5,-0.88,2.81,0.35,-0.12,10,-0.12,5.74,0.21,NaN,NaN,5,0.79,1.34,0.56,NaN,NaN,1,0.52,0.94,0.45,NaN,2,0.95,2.24,0.41,NaN,NaN,NaN,NaN,-0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,808,NaN,0,NaN,0
NaN,NaN,NaN,2,-3.06,1.91,0.09,NaN,4,-0.2,5.38,0.37,-0.04,10,-0.04,9.96,0.21,NaN,NaN,1,0.75,0.95,0.45,NaN,NaN,1,0.71,0.77,0.39,NaN,2,0.98,1.66,0.34,NaN,NaN,NaN,NaN,-0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,700,NaN,0,NaN,0
NaN,NaN,NaN,2,-4,2.01,0.1,NaN,4,-0.24,6.47,0.47,0.03,10,0.03,10.37,0.22,NaN,NaN,1,0.74,0.62,0.34,NaN,0.44,10,0.44,1.6,0.65,NaN,2,0.99,2.1,0.4,NaN,NaN,NaN,NaN,-0.04,NaN,NaN,NaN,0.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,524,NaN,0,NaN,0
3.58,33,-3.57,10,-3.57,2.37,0.12,-0.31,10,-0.31,7.17,0.56,-0.06,10,-0.06,11.1,0.23,NaN,NaN,1,1.79,0.74,0.38,NaN,0.5,10,0.5,1.92,0.73,NaN,2,0.81,1.6,0.35,NaN,NaN,NaN,NaN,-0.04,NaN,NaN,NaN,0.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,353,NaN,0,NaN,0
3.28,30.9,-3.25,10,-3.25,2.34,0.12,-0.4,10,-0.4,6.74,0.55,-0.02,10,-0.02,10.98,0.25,NaN,NaN,1,1.52,0.87,0.42,NaN,0.41,10,0.41,1.73,0.68,NaN,2,0.83,2.85,0.5,NaN,NaN,NaN,NaN,-0.03,NaN,NaN,NaN,0.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,240,NaN,0,NaN,0
3.36,30.8,-3.33,10,-3.33,2.3,0.13,-0.42,10,-0.42,6.36,0.54,-0.03,10,-0.03,10.61,0.24,NaN,NaN,2,0.67,1.04,0.48,NaN,0.54,10,0.54,1.54,0.63,NaN,2,0.78,2.63,0.49,NaN,NaN,NaN,NaN,-0.02,NaN,NaN,NaN,0.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,185,NaN,0,NaN,0
1.87,20,-1.78,10,-1.78,2.02,0.18,-0.58,10,-0.58,6.15,0.52,0.04,10,0.04,10.7,0.23,NaN,NaN,2,1.01,1,0.47,NaN,0.61,10,0.61,1.89,0.72,NaN,2,1.33,2.55,0.47,NaN,NaN,NaN,NaN,-0.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,156,2040000,0,NaN,0
1.72,15.9,-1.59,10,-1.59,2.52,0.31,-0.65,10,-0.65,6.09,0.5,0.1,10,0.1,11.61,0.22,NaN,NaN,1,0.57,0.91,0.44,NaN,0.66,10,0.66,1.86,0.71,NaN,2,0.92,2.09,0.41,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,168,NaN,0,NaN,256
