NaN,NaN,NaN,1,3.21,0.52,0.07,NaN,1,-12.5,0.32,0.04,NaN,5,-1.23,2.72,0.11,NaN,NaN,1,1.57,0.73,0.38,NaN,NaN,1,2.67,0.66,0.35,NaN,2,1.55,2.66,0.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76800000,NaN,0,NaN,0
NaN,NaN,NaN,2,1.75,1,0.06,NaN,4,0.94,2.26,0.14,NaN,5,-0.64,6.54,0.2,NaN,NaN,1,0.7,0.54,0.31,NaN,NaN,5,0.46,1.28,0.55,NaN,5,0.89,4.83,0.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46200,NaN,0,NaN,0
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,4,1.04,3.8,0.36,0.16,10,0.16,6.19,0.19,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,5,0.63,1.44,0.6,NaN,2,1.56,1.73,0.34,NaN,NaN,NaN,NaN,-0.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3080,2410000,0,NaN,0
NaN,NaN,NaN,2,-0.94,1.56,0.08,NaN,4,1.4,6.61,0.39,-0.06,10,-0.06,6.22,0.2,NaN,NaN,1,0.61,0.72,0.38,NaN,NaN,2,0.62,1.08,0.5,NaN,2,1.14,1.96,0.38,NaN,NaN,NaN,NaN,-0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1730,NaN,0,NaN,0
NaN,NaN,NaN,2,-1.42,1.63,0.08,NaN,4,1.62,7.04,0.43,-0.04,10,-0.04,12.23,0.22,NaN,NaN,1,2.05,0.72,0.38,NaN,NaN,5,0.79,1.31,0.57,NaN,2,1.16,2.16,0.4,NaN,NaN,NaN,NaN,-0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1760,3960000,0,NaN,0
NaN,NaN,NaN,2,-1.44,1.77,0.09,NaN,4,1.85,7.23,0.47,-0.11,10,-0.11,12.95,0.25,NaN,NaN,1,1.57,0.78,0.4,NaN,NaN,5,1.05,1.92,0.73,NaN,2,1.06,2.67,0.46,NaN,NaN,NaN,NaN,-0.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,988,NaN,0,NaN,0
2.55,86.7,-1.68,10,-1.68,2.37,0.12,1.92,10,1.92,7.29,0.54,-0.27,10,-0.27,13.59,0.26,NaN,NaN,5,0.59,1.1,0.5,NaN,0.54,10,0.54,2.04,0.76,NaN,2,0.95,2.17,0.41,NaN,NaN,NaN,NaN,-0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,659,NaN,0,NaN,0
3.21,75.9,-2.53,10,-2.53,2.55,0.13,1.97,10,1.97,6.92,0.56,-0.25,10,-0.25,13.69,0.25,NaN,NaN,1,1.44,0.72,0.38,NaN,0.59,10,0.59,2.02,0.76,NaN,2,0.78,2.74,0.46,NaN,NaN,NaN,NaN,-0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,510,3510000,0,NaN,0
4.14,65.3,-3.68,10,-3.68,2.94,0.19,1.9,10,1.9,6.64,0.54,-0.17,10,-0.17,14.28,0.24,NaN,NaN,1,0.54,0.68,0.37,NaN,0.61,10,0.61,1.88,0.72,NaN,2,0.98,2.35,0.41,NaN,NaN,NaN,NaN,-0.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,458,4460000,0,NaN,0
4.66,61.1,-4.28,10,-4.28,1.43,0.13,1.82,10,1.82,6.73,0.52,-0.03,10,-0.03,14.19,0.24,NaN,NaN,2,1.18,1.02,0.48,NaN,0.59,10,0.59,2.01,0.75,NaN,2,1.08,2.65,0.46,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,316,4230000,0,NaN,256
