NaN,NaN,NaN,3,-5.68,0.56,0.1,NaN,2,12.19,0.71,0.09,NaN,5,-2.88,10.49,0.56,NaN,NaN,1,2.46,0.52,0.3,NaN,NaN,2,2.6,1,0.47,NaN,5,1.06,8.97,0.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,184000000,NaN,0,NaN,0
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,4,-1.12,1.55,0.11,NaN,5,-2.74,7.82,0.18,NaN,NaN,1,1.5,0.58,0.33,NaN,NaN,1,1.98,0.89,0.44,NaN,2,1.93,2.09,0.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17600,NaN,0,NaN,0
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,4,-2.08,4.07,0.22,NaN,2,-0.19,1.81,0.05,NaN,NaN,1,2.4,0.83,0.42,NaN,NaN,5,0.8,1.22,0.53,NaN,2,2.41,2.09,0.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8120,NaN,0,NaN,0
NaN,NaN,NaN,1,5.63,0.35,0.02,NaN,4,-2.22,6.17,0.33,-0.24,10,-0.24,4.6,0.15,NaN,NaN,1,2.22,0.86,0.43,NaN,NaN,5,0.59,2.33,0.83,NaN,2,1.17,1.76,0.35,NaN,NaN,NaN,NaN,-0.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,809,NaN,0,NaN,0
NaN,NaN,NaN,2,3.98,1.05,0.05,NaN,4,-2.43,7.79,0.43,-0.24,10,-0.24,9.59,0.18,NaN,NaN,5,1.53,1.12,0.5,NaN,NaN,5,1.42,1.46,0.61,NaN,2,0.97,2.26,0.42,NaN,NaN,NaN,NaN,-0.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,678,NaN,0,NaN,0
NaN,NaN,NaN,2,3.48,1.38,0.06,NaN,4,-2.83,8.66,0.49,-0.24,10,-0.24,11.71,0.23,NaN,NaN,1,1.03,0.83,0.41,NaN,0.53,10,0.53,1.43,0.6,NaN,2,0.93,2.57,0.46,NaN,NaN,NaN,NaN,-0.19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,540,NaN,0,NaN,0
NaN,NaN,NaN,2,3.52,1.87,0.1,NaN,4,-3.05,7.24,0.54,-0.21,10,-0.21,13.61,0.3,NaN,NaN,1,0.57,0.84,0.42,NaN,0.45,10,0.45,2.4,0.85,NaN,2,0.89,2.09,0.41,NaN,NaN,NaN,NaN,-0.19,NaN,NaN,NaN,0.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,443,NaN,0,NaN,0
NaN,NaN,NaN,2,3.51,1.42,0.07,NaN,4,-3.41,7.67,0.63,-0.19,10,-0.19,14.85,0.35,NaN,NaN,1,2.7,0.83,0.42,NaN,0.49,10,0.49,2.46,0.86,NaN,2,0.73,2.52,0.48,NaN,NaN,NaN,NaN,-0.18,NaN,NaN,NaN,0.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,270,NaN,0,NaN,0
NaN,NaN,NaN,2,3.26,1.52,0.08,NaN,4,-3.75,8,0.66,-0.13,10,-0.13,15.56,0.37,NaN,NaN,1,1.59,0.91,0.44,NaN,0.46,10,0.46,2.69,0.91,0.8,10,0.8,3.26,0.55,NaN,NaN,NaN,NaN,-0.16,NaN,NaN,NaN,0.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,151,NaN,0,NaN,0
5.31,263,3.76,10,3.76,1.69,0.13,-3.75,10,-3.75,7.99,0.68,-0.09,10,-0.09,16.78,0.38,NaN,NaN,2,1.49,1.09,0.5,NaN,0.51,10,0.51,2.36,0.84,0.68,10,0.68,3.09,0.55,NaN,NaN,NaN,NaN,-0.15,NaN,NaN,NaN,0.47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,138,1830000,0,NaN,256
4.66,269,2.93,10,2.93,1.4,0.12,-3.62,10,-3.62,7.14,0.66,-0.1,10,-0.1,17.84,0.38,NaN,NaN,0,NaN,NaN,NaN,NaN,0.52,10,0.52,2.41,0.85,0.93,10,0.93,3.38,0.58,NaN,NaN,NaN,NaN,-0.14,NaN,NaN,NaN,0.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,114,1980000,0,NaN,256
NaN,NaN,NaN,2,3.87,0.76,0.07,NaN,4,-3.57,8.35,0.67,-0.13,10,-0.13,24.98,0.41,NaN,NaN,1,1.8,0.75,0.4,NaN,0.37,10,0.37,1.82,0.69,0.98,10,0.98,3.56,0.57,NaN,NaN,NaN,NaN,-0.13,NaN,NaN,NaN,0.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94.1,2170000,0,NaN,256
5.01,265.8,3.37,10,3.37,1.71,0.16,-3.71,10,-3.71,8.04,0.68,-0.15,10,-0.15,25.1,0.42,NaN,NaN,0,NaN,NaN,NaN,NaN,0.35,10,0.35,1.95,0.73,0.76,10,0.76,3.57,0.59,NaN,NaN,NaN,NaN,-0.12,NaN,NaN,NaN,0.51,0.83,NaN,NaN,NaN,NaN,NaN,1.024,NaN,71.1,2130000,0,NaN,256
4.81,269.3,3.01,10,3.01,1.81,0.2,-3.75,10,-3.75,8,0.67,-0.12,10,-0.12,24.95,0.43,NaN,NaN,1,0.43,0.58,0.33,NaN,0.59,10,0.59,2.63,0.89,0.66,10,0.66,3.44,0.58,NaN,NaN,NaN,NaN,-0.11,NaN,NaN,NaN,0.52,0.83,NaN,NaN,NaN,NaN,NaN,1.042,NaN,48.2,1830000,0,NaN,256
5.02,267.5,3.26,10,3.26,2.53,0.29,-3.82,10,-3.82,8.25,0.68,-0.1,10,-0.1,24.55,0.44,NaN,NaN,5,0.6,2.26,0.8,NaN,0.45,10,0.45,2.11,0.77,0.74,10,0.74,3.09,0.55,NaN,NaN,NaN,NaN,-0.1,NaN,NaN,NaN,0.53,0.84,NaN,NaN,NaN,NaN,NaN,1.058,NaN,27,985000,0,NaN,256
5.27,266.4,3.5,10,3.5,4.47,0.38,-3.94,10,-3.94,8.61,0.67,-0.08,10,-0.08,23.88,0.44,NaN,NaN,5,1.02,1.7,0.66,NaN,0.6,10,0.6,2.53,0.87,0.95,10,0.95,4.09,0.63,4.99,268.6,3.16,-3.86,-0.08,NaN,NaN,NaN,0.53,0.85,0.046,266.8,9.6,NaN,3,1.073,0.01113,22.9,NaN,0,NaN,256
