NaN,NaN,NaN,4,-5.1,1.14,0.15,NaN,1,1.36,0.28,0.04,NaN,2,-4.43,0.87,0.04,NaN,NaN,1,1.66,0.84,0.42,NaN,NaN,1,1.81,0.52,0.3,NaN,2,2.42,2.82,0.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,296000000,NaN,0,NaN,0
NaN,NaN,NaN,2,-1.46,0.71,0.04,NaN,0,NaN,NaN,NaN,-0.07,10,-0.07,3.26,0.11,NaN,NaN,1,1.1,0.58,0.33,NaN,NaN,1,1.35,0.52,0.3,NaN,2,0.96,2.25,0.38,NaN,NaN,NaN,NaN,-0.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62100,NaN,0,NaN,0
NaN,NaN,NaN,2,0.29,1.62,0.08,NaN,4,-1.91,2.25,0.13,0,10,0,4.5,0.15,NaN,NaN,5,0.36,1.15,0.52,NaN,NaN,1,2.22,0.8,0.4,NaN,2,2.41,1.52,0.3,NaN,NaN,NaN,NaN,-0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14100,NaN,0,NaN,0
2.36,281.3,1.06,10,1.06,1.8,0.1,-2.11,10,-2.11,2.79,0.21,-0.18,10,-0.18,5.51,0.25,NaN,NaN,1,0.13,0.58,0.33,NaN,0.9,10,0.9,1.62,0.65,NaN,2,0.7,2.38,0.45,2.46,299.2,0.38,-2.43,-0.11,NaN,NaN,NaN,NaN,NaN,0.034,285.2,NaN,NaN,NaN,NaN,NaN,4140,NaN,0,NaN,0
2.92,289.3,0.94,10,0.94,2.38,0.14,-2.76,10,-2.76,4.01,0.33,-0.05,10,-0.05,9.53,0.27,NaN,NaN,5,0.6,1.98,0.75,NaN,0.79,10,0.79,1.36,0.58,NaN,2,0.75,2.75,0.48,2.62,298.3,0.44,-2.58,-0.1,NaN,NaN,NaN,0.77,NaN,0.031,284.9,NaN,NaN,NaN,NaN,NaN,1790,NaN,0,NaN,0
3.05,289,0.99,10,0.99,2.8,0.17,-2.89,10,-2.89,4.08,0.35,-0.04,10,-0.04,9.86,0.3,NaN,NaN,1,0.44,0.74,0.39,NaN,0.71,10,0.71,1.99,0.75,NaN,2,0.69,2.08,0.39,2.76,297.6,0.5,-2.71,-0.09,NaN,NaN,NaN,0.67,NaN,0.025,284.2,NaN,NaN,NaN,NaN,NaN,1030,NaN,0,NaN,0
2.97,297.5,0.54,10,0.54,2.87,0.18,-2.92,10,-2.92,4.98,0.4,-0.03,10,-0.03,10.77,0.35,NaN,NaN,1,0.24,0.96,0.47,NaN,0.4,10,0.4,1.34,0.57,0.83,10,0.83,3.26,0.54,2.86,297.1,0.54,-2.81,-0.09,NaN,NaN,NaN,0.6,0.7,0.02,283.7,13.7,NaN,1,0.727,0.00327,836,NaN,0,NaN,0
2.68,300.5,0.35,10,0.35,2.8,0.19,-2.66,10,-2.66,5.38,0.42,-0.04,10,-0.04,11.74,0.39,NaN,NaN,5,1.61,1.08,0.5,NaN,0.44,10,0.44,1.11,0.51,0.57,10,0.57,2.88,0.54,2.95,296.7,0.58,-2.89,-0.08,NaN,NaN,NaN,0.54,0.68,0.016,283.6,13,NaN,1,0.692,0.00248,475,NaN,0,NaN,0
3,304.6,0.18,10,0.18,3.09,0.22,-2.99,10,-2.99,5.74,0.46,0.02,10,0.02,12.34,0.38,NaN,NaN,1,0.95,0.81,0.42,NaN,0.53,10,0.53,1.61,0.64,0.6,10,0.6,3.6,0.61,3.02,296.4,0.61,-2.95,-0.08,NaN,NaN,NaN,0.5,0.67,0.013,284,12.5,NaN,1,0.671,0.00192,242,NaN,0,NaN,0
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,4,-3.1,5.66,0.5,-0.03,10,-0.03,12.74,0.34,NaN,NaN,0,NaN,NaN,NaN,NaN,0.43,10,0.43,1.41,0.59,NaN,2,0.67,2.25,0.45,3.07,296.2,0.63,-3.01,-0.08,NaN,NaN,NaN,0.47,NaN,0.01,285.4,NaN,NaN,NaN,NaN,NaN,220,NaN,0,NaN,0
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,4,-2.9,5.35,0.55,0.02,10,0.02,14.44,0.34,NaN,NaN,0,NaN,NaN,NaN,NaN,0.52,10,0.52,1.21,0.53,NaN,2,0.66,2.59,0.47,3.12,296,0.65,-3.05,-0.07,NaN,NaN,NaN,0.45,NaN,0.008,288.1,NaN,NaN,NaN,NaN,NaN,259,NaN,0,NaN,0
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,4,-2.89,6.68,0.51,-0.1,10,-0.1,20.03,0.36,NaN,NaN,0,NaN,NaN,NaN,NaN,0.45,10,0.45,2.49,0.86,NaN,2,0.68,2.67,0.5,3.16,295.9,0.66,-3.09,-0.07,NaN,NaN,NaN,0.45,NaN,0.007,292.2,NaN,NaN,NaN,NaN,NaN,196,4550000,0,NaN,256
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,4,-2.74,6.35,0.47,-0.1,10,-0.1,20.27,0.35,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,5,0.75,2.24,0.8,NaN,2,0.97,2.95,0.5,3.19,295.9,0.67,-3.12,-0.07,NaN,NaN,NaN,0.44,NaN,0.007,297,NaN,NaN,NaN,NaN,NaN,182,5600000,0,NaN,0
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,4,-2.76,6.02,0.43,-0.08,10,-0.08,20.98,0.35,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,1,1.59,0.94,0.45,NaN,5,0.51,2.85,0.5,3.23,296,0.67,-3.16,-0.07,NaN,NaN,NaN,0.45,NaN,0.007,301.5,NaN,NaN,NaN,NaN,NaN,100,NaN,0,NaN,256
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,4,-3.13,5.77,0.41,-0.13,10,-0.13,19.82,0.32,NaN,NaN,0,NaN,NaN,NaN,NaN,0.5,10,0.5,1.26,0.56,NaN,2,0.67,1.88,0.38,3.26,296.1,0.68,-3.19,-0.07,NaN,NaN,NaN,0.46,NaN,0.008,304.9,NaN,NaN,NaN,NaN,NaN,47.4,NaN,0,NaN,256
NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,4,-3.54,5.49,0.43,-0.09,10,-0.09,19.41,0.31,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,1,1.06,0.87,0.43,0.78,10,0.78,3.24,0.56,3.3,296.2,0.68,-3.23,-0.07,NaN,NaN,NaN,0.47,0.69,0.009,307,11.8,NaN,2,0.716,0.00143,35.3,NaN,0,NaN,256
